class	GeneID
non-siRNA-PPR	AT2G16880.1
non-siRNA-PPR	AT4G19440.1
non-siRNA-PPR	AT3G53170.1
non-siRNA-PPR	AT2G40240.1
non-siRNA-PPR	AT1G74750.1
non-siRNA-PPR	AT5G39350.1
non-siRNA-PPR	AT2G22070.1
non-siRNA-PPR	AT3G25210.1
non-siRNA-PPR	AT1G28020.1
non-siRNA-PPR	AT4G25270.1
non-siRNA-PPR	AT3G12770.1
non-siRNA-PPR	AT4G32430.1
non-siRNA-PPR	AT3G11460.1
non-siRNA-PPR	AT2G30100.1
non-siRNA-PPR	AT1G05670.1
non-siRNA-PPR	AT4G02750.1
non-siRNA-PPR	AT2G36730.1
non-siRNA-PPR	AT2G17670.1
non-siRNA-PPR	AT1G62350.1
non-siRNA-PPR	AT5G61800.1
non-siRNA-PPR	AT3G09060.1
non-siRNA-PPR	AT5G02860.1
non-siRNA-PPR	AT2G04860.1
non-siRNA-PPR	AT1G22960.1
non-siRNA-PPR	AT4G38150.2
non-siRNA-PPR	AT1G11290.1
non-siRNA-PPR	AT1G02370.1
non-siRNA-PPR	AT1G11630.1
non-siRNA-PPR	AT2G06000.2
non-siRNA-PPR	AT2G37310.1
non-siRNA-PPR	AT4G02820.1
non-siRNA-PPR	AT4G26800.1
non-siRNA-PPR	AT4G14050.1
non-siRNA-PPR	AT1G18900.3
non-siRNA-PPR	AT1G17630.1
non-siRNA-PPR	AT2G30780.1
non-siRNA-PPR	AT3G24000.1
non-siRNA-PPR	AT4G04790.1
non-siRNA-PPR	AT5G13230.1
non-siRNA-PPR	AT1G16830.1
non-siRNA-PPR	AT5G55840.1
non-siRNA-PPR	AT3G22690.1
non-siRNA-PPR	AT5G04780.1
non-siRNA-PPR	AT5G15010.1
non-siRNA-PPR	AT1G79080.1
non-siRNA-PPR	AT3G02490.1
non-siRNA-PPR	AT1G11710.1
non-siRNA-PPR	AT2G27800.1
non-siRNA-PPR	AT5G14350.1
non-siRNA-PPR	AT5G38730.1
non-siRNA-PPR	AT4G33170.1
non-siRNA-PPR	AT1G56690.1
non-siRNA-PPR	AT4G01570.1
non-siRNA-PPR	AT5G65560.1
non-siRNA-PPR	AT5G57250.1
non-siRNA-PPR	AT3G46870.1
non-siRNA-PPR	AT1G04840.1
non-siRNA-PPR	AT1G09820.1
non-siRNA-PPR	AT2G33680.1
non-siRNA-PPR	AT3G05340.1
non-siRNA-PPR	AT5G28460.1
non-siRNA-PPR	AT5G28370.1
non-siRNA-PPR	AT3G61520.1
non-siRNA-PPR	AT1G56570.1
non-siRNA-PPR	AT5G27110.1
non-siRNA-PPR	AT3G60050.1
non-siRNA-PPR	AT2G26790.1
non-siRNA-PPR	AT3G02650.1
non-siRNA-PPR	AT1G13410.1
non-siRNA-PPR	AT3G13160.1
non-siRNA-PPR	AT3G17370.1
non-siRNA-PPR	AT4G21170.1
non-siRNA-PPR	AT3G16010.1
non-siRNA-PPR	AT5G08305.1
non-siRNA-PPR	AT4G26680.1
non-siRNA-PPR	AT5G19020.1
non-siRNA-PPR	AT3G62540.1
non-siRNA-PPR	AT3G62470.1
non-siRNA-PPR	AT4G21705.1
non-siRNA-PPR	AT5G39980.1
non-siRNA-PPR	AT5G27460.1
non-siRNA-PPR	AT3G56030.1
non-siRNA-PPR	AT1G76280.3
non-siRNA-PPR	AT5G50990.1
non-siRNA-PPR	AT3G20730.1
non-siRNA-PPR	AT4G21880.1
non-siRNA-PPR	AT2G45350.1
non-siRNA-PPR	AT5G66500.1
non-siRNA-PPR	AT5G16420.1
non-siRNA-PPR	AT4G20090.1
non-siRNA-PPR	AT2G19280.2
non-siRNA-PPR	AT3G54980.1
non-siRNA-PPR	AT5G14820.1
non-siRNA-PPR	AT1G10270.1
non-siRNA-PPR	AT5G61370.1
